"network","es"
"RetrosplenialTemporal",-0.507576507483781
"RetrosplenialTemporal",-0.551850198836199
"RetrosplenialTemporal",-0.423379087406453
"RetrosplenialTemporal",-0.380158817561347
"RetrosplenialTemporal",-0.360793275312857
"RetrosplenialTemporal",-0.353112053616616
"RetrosplenialTemporal",-0.326420703402802
"RetrosplenialTemporal",-0.289365660915611
"RetrosplenialTemporal",-0.265903660018564
"RetrosplenialTemporal",-0.560027319642915
"RetrosplenialTemporal",-0.575925394924467
"RetrosplenialTemporal",-0.583311214361746
"RetrosplenialTemporal",-0.591583185577775
"RetrosplenialTemporal",-0.559786885411354
"RetrosplenialTemporal",-0.544462768531462
"RetrosplenialTemporal",-0.557665257546287
"RetrosplenialTemporal",-0.518615105662783
"RetrosplenialTemporal",-0.487309487724338
"RetrosplenialTemporal",-0.461975469847481
"RetrosplenialTemporal",-0.407816482507493
"RetrosplenialTemporal",-0.35576709447463
"RetrosplenialTemporal",-0.319956333127133
"RetrosplenialTemporal",-0.265840911641985
"RetrosplenialTemporal",-0.63783501720789
"RetrosplenialTemporal",-0.679591232567926
"RetrosplenialTemporal",-0.706971882841171
"RetrosplenialTemporal",-0.711731655665837
"RetrosplenialTemporal",-0.729493763747832
"RetrosplenialTemporal",-0.707929129506045
"RetrosplenialTemporal",-0.668993389421842
"RetrosplenialTemporal",-0.610259577358153
"RetrosplenialTemporal",-0.572892615092135
"RetrosplenialTemporal",-0.514848650298946
"RetrosplenialTemporal",-0.424804283756886
"RetrosplenialTemporal",-0.377332945890131
"RetrosplenialTemporal",-0.332795997726764
"RetrosplenialTemporal",-0.743905401585874
"RetrosplenialTemporal",-0.743466371632183
"RetrosplenialTemporal",-0.759735812723508
"RetrosplenialTemporal",-0.772891670251347
"RetrosplenialTemporal",-0.772423725785347
"RetrosplenialTemporal",-0.767993618434094
"RetrosplenialTemporal",-0.726279033550288
"RetrosplenialTemporal",-0.697588306836621
"RetrosplenialTemporal",-0.652021704470836
"RetrosplenialTemporal",-0.598009642708464
"RetrosplenialTemporal",-0.525906459495855
"RetrosplenialTemporal",-0.445803610059797
"RetrosplenialTemporal",-0.380336684755621
"RetrosplenialTemporal",-0.310391398909692
"RetrosplenialTemporal",-0.872790252781634
"RetrosplenialTemporal",-0.81107662246027
"RetrosplenialTemporal",-0.759687934201671
"RetrosplenialTemporal",-0.762851694555375
"RetrosplenialTemporal",-0.769703425592192
"RetrosplenialTemporal",-0.757729579905832
"RetrosplenialTemporal",-0.706845615690907
"RetrosplenialTemporal",-0.674821866425413
"RetrosplenialTemporal",-0.631343888848522
"RetrosplenialTemporal",-0.579167741180446
"RetrosplenialTemporal",-0.532349203305491
"RetrosplenialTemporal",-0.455480428955448
"RetrosplenialTemporal",-0.388168072242622
"RetrosplenialTemporal",-0.353739911215702
"RetrosplenialTemporal",-0.902450995587716
"RetrosplenialTemporal",-0.841178133996015
"RetrosplenialTemporal",-0.77641173784109
"RetrosplenialTemporal",-0.775426600629792
"RetrosplenialTemporal",-0.772517969251658
"RetrosplenialTemporal",-0.717300950262488
"RetrosplenialTemporal",-0.648840780310311
"RetrosplenialTemporal",-0.607298831494431
"RetrosplenialTemporal",-0.549258747051526
"RetrosplenialTemporal",-0.502178501158495
"RetrosplenialTemporal",-0.453218567291633
"RetrosplenialTemporal",-0.370726580442088
"RetrosplenialTemporal",-0.322553861262825
"RetrosplenialTemporal",-0.318940593320073
"RetrosplenialTemporal",-0.817853819356252
"RetrosplenialTemporal",-0.89247202133477
"RetrosplenialTemporal",-0.843550496775484
"RetrosplenialTemporal",-0.789222537226124
"RetrosplenialTemporal",-0.782710902206401
"RetrosplenialTemporal",-0.774717983621809
"RetrosplenialTemporal",-0.704863677128202
"RetrosplenialTemporal",-0.617359769465232
"RetrosplenialTemporal",-0.557730819212118
"RetrosplenialTemporal",-0.507227404237422
"RetrosplenialTemporal",-0.462378728296463
"RetrosplenialTemporal",-0.39065346679451
"RetrosplenialTemporal",-0.326052382936357
"RetrosplenialTemporal",-0.28983819581775
"RetrosplenialTemporal",-0.306095153298644
"RetrosplenialTemporal",-0.721710852891523
"RetrosplenialTemporal",-0.766954268100297
"RetrosplenialTemporal",-0.828933565025243
"RetrosplenialTemporal",-0.856584427331656
"RetrosplenialTemporal",-0.830708210381318
"RetrosplenialTemporal",-0.805370998362391
"RetrosplenialTemporal",-0.76801503206603
"RetrosplenialTemporal",-0.68801230502361
"RetrosplenialTemporal",-0.637286859785855
"RetrosplenialTemporal",-0.57434646466898
"RetrosplenialTemporal",-0.484646231387435
"RetrosplenialTemporal",-0.41898508691828
"RetrosplenialTemporal",-0.348378634973496
"RetrosplenialTemporal",-0.294809257192657
"RetrosplenialTemporal",-0.695593582747951
"RetrosplenialTemporal",-0.740480084244874
"RetrosplenialTemporal",-0.788093297407059
"RetrosplenialTemporal",-0.821039068165424
"RetrosplenialTemporal",-0.821879531306347
"RetrosplenialTemporal",-0.79992905102794
"RetrosplenialTemporal",-0.764713606671989
"RetrosplenialTemporal",-0.673321985577173
"RetrosplenialTemporal",-0.61198542363121
"RetrosplenialTemporal",-0.559221380456467
"RetrosplenialTemporal",-0.507655689068592
"RetrosplenialTemporal",-0.581893548826924
"RetrosplenialTemporal",-0.648505936592973
"RetrosplenialTemporal",-0.736748919887156
"RetrosplenialTemporal",-0.781982494535513
"RetrosplenialTemporal",-0.795588859595108
"RetrosplenialTemporal",-0.787072880591436
"RetrosplenialTemporal",-0.750166922489154
"RetrosplenialTemporal",-0.690391378318098
"RetrosplenialTemporal",-0.642018306521238
"RetrosplenialTemporal",-0.591040683308071
"RetrosplenialTemporal",-0.657351013551459
"RetrosplenialTemporal",-0.756330345886084
"RetrosplenialTemporal",-0.797501957768654
"RetrosplenialTemporal",-0.805770902344453
"RetrosplenialTemporal",-0.802264584154021
"RetrosplenialTemporal",-0.76322522204902
"RetrosplenialTemporal",-0.716395790973492
"RetrosplenialTemporal",-0.69398324314426
"RetrosplenialTemporal",-0.667324516514898
"RetrosplenialTemporal",-0.616220124589326
"RetrosplenialTemporal",-0.582141808708344
"RetrosplenialTemporal",-0.523356906454722
"RetrosplenialTemporal",-0.0982306658317818
"RetrosplenialTemporal",-0.282459326316917
"RetrosplenialTemporal",-0.142282989157806
"RetrosplenialTemporal",-0.428954038227031
"RetrosplenialTemporal",-0.318147579860919
"RetrosplenialTemporal",-0.197669176818943
"RetrosplenialTemporal",-0.432534348998732
"RetrosplenialTemporal",-0.359813407953813
"RetrosplenialTemporal",-0.253696172923607
"RetrosplenialTemporal",-0.143738292863543
"RetrosplenialTemporal",-0.457330202681455
"RetrosplenialTemporal",-0.394222672813153
"RetrosplenialTemporal",-0.289358548774037
"RetrosplenialTemporal",-0.182801702666824
"RetrosplenialTemporal",-0.563548819476376
"RetrosplenialTemporal",-0.494429330899634
"RetrosplenialTemporal",-0.432237640758235
"RetrosplenialTemporal",-0.331530176246111
"RetrosplenialTemporal",-0.226665912443111
"RetrosplenialTemporal",-0.163239204895171
"RetrosplenialTemporal",-0.638622210011674
"RetrosplenialTemporal",-0.564116365411887
"RetrosplenialTemporal",-0.475138134642104
"RetrosplenialTemporal",-0.385108148877157
"RetrosplenialTemporal",-0.289538287421425
"RetrosplenialTemporal",-0.220097588473289
"RetrosplenialTemporal",-0.655942393482652
"RetrosplenialTemporal",-0.598693759761947
"RetrosplenialTemporal",-0.531253629256512
"RetrosplenialTemporal",-0.453490390704718
"RetrosplenialTemporal",-0.356358004891601
"RetrosplenialTemporal",-0.276921480907545
"RetrosplenialTemporal",-0.229530763240302
"RetrosplenialTemporal",-0.656135279838616
"RetrosplenialTemporal",-0.603067435529893
"RetrosplenialTemporal",-0.576279053631455
"RetrosplenialTemporal",-0.507622373711585
"RetrosplenialTemporal",-0.412244129547903
"RetrosplenialTemporal",-0.324430569710646
"RetrosplenialTemporal",-0.258426125473305
"RetrosplenialTemporal",-0.224281766259736
"RetrosplenialTemporal",-0.647419425385568
"RetrosplenialTemporal",-0.593536276672863
"RetrosplenialTemporal",-0.586196032750229
"RetrosplenialTemporal",-0.550736873475649
"RetrosplenialTemporal",-0.452190247100579
"RetrosplenialTemporal",-0.354026342990759
"RetrosplenialTemporal",-0.279113845150647
"RetrosplenialTemporal",-0.238746524259065
"RetrosplenialTemporal",-0.599311115798952
"RetrosplenialTemporal",-0.58493812165653
"RetrosplenialTemporal",-0.593165256231698
"RetrosplenialTemporal",-0.594842409648122
"RetrosplenialTemporal",-0.511783858859322
"RetrosplenialTemporal",-0.392249700188695
"RetrosplenialTemporal",-0.314071131018556
"RetrosplenialTemporal",-0.25260207677679
"RetrosplenialTemporal",-0.184691212277671
"RetrosplenialTemporal",-0.118210054602558
"RetrosplenialTemporal",-0.591481453172467
"RetrosplenialTemporal",-0.588856257791772
"RetrosplenialTemporal",-0.594460578692416
"RetrosplenialTemporal",-0.605324630409267
"RetrosplenialTemporal",-0.539635573119866
"RetrosplenialTemporal",-0.437842399311935
"RetrosplenialTemporal",-0.335685016372151
"RetrosplenialTemporal",-0.263117186211041
"RetrosplenialTemporal",-0.189892897100153
"RetrosplenialTemporal",-0.541652791767586
"RetrosplenialTemporal",-0.547701533728151
"RetrosplenialTemporal",-0.561792321955734
"RetrosplenialTemporal",-0.566847324180911
"RetrosplenialTemporal",-0.501004807881686
"RetrosplenialTemporal",-0.414155955765244
"RetrosplenialTemporal",-0.324816550717437
"RetrosplenialTemporal",-0.249413299466187
"RetrosplenialTemporal",-0.189181965340114
"RetrosplenialTemporal",-0.139747274779342
"RetrosplenialTemporal",-0.107477975696948
"RetrosplenialTemporal",-0.507289735510603
"RetrosplenialTemporal",-0.527468974640081
"RetrosplenialTemporal",-0.525035331477225
"RetrosplenialTemporal",-0.461243910679764
"RetrosplenialTemporal",-0.379308632765433
"RetrosplenialTemporal",-0.321790814086005
"RetrosplenialTemporal",-0.244453514457421
"RetrosplenialTemporal",-0.180218596877543
"RetrosplenialTemporal",-0.130749173129186
"RetrosplenialTemporal",-0.105222983145591
"RetrosplenialTemporal",-0.512964474462613
"RetrosplenialTemporal",-0.515861693404637
"RetrosplenialTemporal",-0.43974842353516
"RetrosplenialTemporal",-0.375099690867181
"RetrosplenialTemporal",-0.316804919003831
"RetrosplenialTemporal",-0.242206968157066
"RetrosplenialTemporal",-0.167487363107571
"RetrosplenialTemporal",-0.123499694202786
"RetrosplenialTemporal",-0.0819602414510733
"RetrosplenialTemporal",-0.476053584342596
"RetrosplenialTemporal",-0.414179442198157
"RetrosplenialTemporal",-0.349929058837155
"RetrosplenialTemporal",-0.286372041484039
"RetrosplenialTemporal",-0.210204347660686
"RetrosplenialTemporal",-0.153918106922764
"RetrosplenialTemporal",-0.0966016383578567
"RetrosplenialTemporal",-0.0516460151906467
"RetrosplenialTemporal",-0.337501996222833
"RetrosplenialTemporal",-0.308028099252539
"RetrosplenialTemporal",-0.234444559215526
"RetrosplenialTemporal",-0.16739438909335
"RetrosplenialTemporal",-0.11710783811445
"RetrosplenialTemporal",-0.0565613171870789
"RetrosplenialTemporal",-0.513094055762157
"RetrosplenialTemporal",-0.485003908140807
"RetrosplenialTemporal",-0.475053982364944
"RetrosplenialTemporal",-0.592003784958241
"RetrosplenialTemporal",-0.605451157812684
"RetrosplenialTemporal",-0.623145862131837
"RetrosplenialTemporal",-0.658361575115313
"RetrosplenialTemporal",-0.723051149108746
"RetrosplenialTemporal",-0.739824142290213
"RetrosplenialTemporal",-0.762275974577016
"RetrosplenialTemporal",-0.577201345810193
"RetrosplenialTemporal",-0.576335674423754
"RetrosplenialTemporal",-0.567084547044745
"RetrosplenialTemporal",-0.571909453446246
"RetrosplenialTemporal",-0.558166179296677
"RetrosplenialTemporal",-0.54285395820261
"RetrosplenialTemporal",-0.532049566803352
"RetrosplenialTemporal",-0.464293060324857
"RetrosplenialTemporal",-0.441669500152418
"RetrosplenialTemporal",-0.435517767618656
"RetrosplenialTemporal",-0.38201010305452
"RetrosplenialTemporal",-0.349195492429554
"RetrosplenialTemporal",-0.300396249682473
"RetrosplenialTemporal",-0.221523898075502
"RetrosplenialTemporal",-0.133203235712189
"RetrosplenialTemporal",-0.0792551189465504
"RetrosplenialTemporal",-0.0239763128788669
"RetrosplenialTemporal",-0.151516322000428
"RetrosplenialTemporal",-0.0955024747001286
"RetrosplenialTemporal",-0.0679420441290522
"RetrosplenialTemporal",-0.0483737917945426
"RetrosplenialTemporal",-0.120718295899549
"RetrosplenialTemporal",-0.143247427311054
"RetrosplenialTemporal",-0.142345023073088
"RetrosplenialTemporal",-0.101585581868674
"RetrosplenialTemporal",-0.120621967267414
"RetrosplenialTemporal",-0.0849712190907231
"RetrosplenialTemporal",-0.0881731960375895
"RetrosplenialTemporal",-0.114301617281559
"RetrosplenialTemporal",-0.116646006433133
"RetrosplenialTemporal",-0.110515600412755
"RetrosplenialTemporal",-0.122688695748324
"RetrosplenialTemporal",-0.153714222132101
"RetrosplenialTemporal",-0.148569203734809
"RetrosplenialTemporal",-0.132620267721282
"RetrosplenialTemporal",-0.138588095235331
